Date,Publication,Headline,URL,Ideology
2019-08-28,The Guardian,site makes aggressive new move in fight against vaccine misinformation,https://www.theguardian.com/society/2019/aug/28/pinterest-anti-vaccine-combat-health-misinformation,Liberal
2019-08-29,Daily Mail,california's tougher vaccine law to get final vote - after an anti-vaxxer attacked the bill's co-author,https://www.dailymail.co.uk/health/article-7408519/Californias-tougher-vaccine-law-final-vote.html,Conservative
2019-08-29,The Guardian,california  the senator fighting for the strictest vaccination laws in the us,https://www.theguardian.com/us-news/2019/aug/28/richard-pan-california-vaccines-strictest-law,Liberal
2019-08-29,The Guardian,the senator fighting for the strictest vaccination laws in the us,https://www.theguardian.com/us-news/2019/aug/28/richard-pan-california-vaccines-strictest-law,Liberal
2019-09-10,CNN,governor signs bills limiting vaccine exemptions,https://www.cnn.com/2019/09/10/politics/california-vaccine-bill-gavin-newsom/index.html,Liberal
2019-09-24,Daily Mail,"prominent anti-vaxxer's six-month-old baby died from asphyxiation from co-sleeping with her and not from injections as her mother claimed, medical examiner rules",https://www.dailymail.co.uk/news/article-7499429/Anti-vaxxers-baby-died-asphyxiation-caused-sleeping-medical-examiner-rules.html,Conservative
2019-10-11,Daily Mail,measles surge is killing thousands worldwide as plummeting vaccine rates lead to an 'alarming upsurge',https://www.dailymail.co.uk/news/article-7564671/Measles-surge-killing-thousands-worldwide-plummeting-vaccine-rates-lead-alarming-upsurge.html,Conservative
2019-11-03,Daily Mail,bill maher agrees with anti-vaxxer doctor on his show and says it's 'realistic' to believe debunked theory that childhood vaccines cause autism,https://www.dailymail.co.uk/news/article-7643905/Bill-Maher-claims-link-autism-MMR-vaccine-not-crazy.html,Conservative
2019-11-07,The Guardian,firehosing: the strategy that anti-vaxxers are using to spread misinformation,https://www.theguardian.com/commentisfree/2019/nov/07/firehosing-the-systemic-strategy-that-anti-vaxxers-are-using-to-spread-misinformation,Liberal
2019-11-11,Daily Mail,bill gates backs mail on jabs: microsoft founder joins fight after witnessing horror measles inflicts on young and writes article arguing anti-vaxx scare is harming our children,https://www.dailymail.co.uk/news/article-7674313/Gates-backs-Mail-jabs-wife-shocked-lack-vaccinations-poorer-countries.html,Conservative
2019-11-14,The Guardian,facebook  majority of anti-vaxx ads funded by just two organisations,https://www.theguardian.com/technology/2019/nov/13/majority-antivaxx-vaccine-ads-facebook-funded-by-two-organizations-study,Liberal
